date,high,low,open,close,volume,quoteVolume,weightedAverage
1641055200,3741.63979979,3737.50352037,3738.60171352,3739.91304858,13953.88905666,3.73154839,3739.43671588
1641055500,3743.52691219,3731.51309852,3739.91304858,3733.21929486,14018.91250222,3.74844719,3739.9253055
1641055800,3736.76093175,3730.02543241,3733.25118533,3730.86538984,228.48005274,0.06120871,3732.80294169
1641056100,3730.81363952,3724.8973459,3728.57974433,3726.98247298,30603.26420092,8.21115761,3727.03407417
1641056400,3734.89269354,3729.63145864,3729.63145864,3733.86521094,119.24129334,0.03195244,3731.83685947
1641056700,3735.83109119,3728.77531585,3733.86521094,3731.3638861,189.41502549,0.05075063,3732.26944168
1641057000,3732.76356431,3727.21533224,3731.45717019,3728.42541272,351.9872369,0.09440027,3728.6676924
1641057300,3731.9258133,3728.42541272,3728.42541272,3730.74324037,6980.25431704,1.87155837,3729.64820597
1641057600,3733.19752771,3729.28057842,3730.74324037,3730.76977783,14114.52947097,3.7827342,3731.30352932
1641057900,3736.83380775,3730.76977783,3730.76977783,3735.13603735,14256.84905431,3.81782044,3734.29009519
1641058200,3743.37515818,3735.22941341,3735.32279649,3742.49221249,14292.62036755,3.81824188,3743.24645131
1641058500,3759,3739.18266985,3742.12512831,3756.43662191,370586.32399114,98.69996774,3754.67522914
1641058800,3763.01577373,3756.42842448,3757.00009773,3759.35106477,39562.59333989,10.52231477,3759.87548411
1641059100,3764.23037015,3751.05113361,3758.05047774,3753.08201924,31211.82606552,8.29377516,3763.28336172
1641059400,3761.6359335,3753.13271255,3753.45734153,3760.60329864,849.86687064,0.22615404,3757.91151309
1641059700,3761.06977387,3754.17316891,3760.21332238,3760.97574712,45068.94351509,11.99836576,3756.25684502
1641060000,3765.21231648,3752.63797337,3761.21535974,3752.63797337,81335.97552316,21.64061898,3758.48655707
1641060300,3758.1660849,3751.164573,3752.63797103,3756.30951671,14629.6200405,3.89357677,3757.37295158
1641060600,3758.16196713,3753.23232042,3757.65881262,3753.60335215,14686.69133763,3.91300372,3753.30369929
1641060900,3757.06260223,3746.2,3755.00164587,3747.04029435,6853.02557911,1.82684002,3751.30033505
1641061200,3751.68097149,3747.22764872,3747.22764872,3750.12090339,2810.31532646,0.74945317,3749.82112153
1641061500,3750.38696627,3745.03553693,3750.12090339,3749.01879704,31958.54741403,8.5271236,3747.86961151
1641061800,3751.32557894,3740.82079997,3749.11252251,3741.6300574,6824.13159696,1.82406576,3741.16533877
1641062100,3746.9188163,3739.79773796,3744.68392858,3745.48774435,72714.42743646,19.42237666,3743.84807324
1641062400,3748.47541176,3742.00400673,3746.54391431,3743.33083029,617.25634165,0.16482529,3744.91282046
1641062700,3752.95462021,3741.64056263,3744.81176323,3750.88366449,22955.75654301,6.12298847,3749.10987591
1641063000,3751.98299102,3748.53909703,3749.6950426,3748.63281051,319.47406157,0.08518218,3750.47998971
1641063300,3756.72547856,3748.16425482,3748.16425482,3751.5082065,414.38175671,0.1104365,3752.21739834
